Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IYLD,1298,0,0.00,12,22.36,23.76,1298,0
NJUL,1292,0,0.00,0,0.00,47.92,1237,55
IAUF,1287,10,59.37,1,53.80,55.12,1287,0
VFMO,1285,0,0.00,2,128.00,138.02,1285,0
FMAY,1279,0,0.00,0,0.00,37.87,1279,0
PBSM,1278,0,0.00,0,0.00,40.72,1278,0
DFHY,1276,0,0.00,0,0.00,24.49,939,337
FOCT,1276,0,0.00,0,0.00,35.28,1276,0
IBHD,1269,0,0.00,0,0.00,24.47,1204,65
YSEP,1252,0,0.00,0,0.00,19.96,1168,84
DJAN,1245,0,0.00,0,0.00,32.19,1245,0
DDLS,1236,0,0.00,0,0.00,35.04,1236,0
DALT,1220,0,0.00,0,0.00,10.71,1220,0
OUSM,1220,0,0.00,5,35.00,37.15,1220,0
AGT,1211,0,0.00,0,0.00,26.95,611,600
IGEB,1189,0,0.00,0,0.00,53.16,961,228
FDEC,1133,0,0.00,0,0.00,34.20,1133,0
IETC,1130,100,66.00,3,60.00,61.42,1130,0
SECT,1094,0,0.00,0,0.00,44.41,1094,0
KJUL,1082,0,0.00,0,0.00,26.73,1082,0
EGIS,1071,0,0.00,68,29.50,35.17,1071,0
WUGI,1071,0,0.00,11,62.00,66.80,771,300
NUDM,1045,0,0.00,0,0.00,32.30,938,107
FAUG,1036,0,0.00,0,0.00,38.20,1036,0
FLQL,1033,0,0.00,10,33.00,45.70,1033,0
IBMN,1008,0,0.00,0,0.00,27.87,1008,0
PSCW,1000,0,0.00,0,0.00,21.91,1000,0
FYLD,973,103,30.19,1,26.75,27.00,973,0
DJUL,966,0,0.00,0,0.00,33.42,966,0
DUDE,964,1,36.00,0,0.00,30.15,964,0
PAUG,962,0,0.00,0,0.00,30.15,962,0
IVRA,958,0,0.00,20,13.00,14.95,958,0
SHAG,942,0,0.00,0,0.00,50.54,942,0
FLHY,924,0,0.00,0,0.00,26.09,924,0
BJUL,923,0,0.00,0,0.00,32.95,923,0
PFEB,909,0,0.00,0,0.00,29.10,909,0
YPS,902,0,0.00,0,0.00,24.34,802,100
LIV,901,0,0.00,0,0.00,28.78,901,0
DMAR,900,0,0.00,0,0.00,31.73,900,0
FJAN,900,0,0.00,0,0.00,33.98,900,0
RESE,896,0,0.00,0,0.00,35.97,596,300
IECS,868,0,0.00,500,32.00,33.01,868,0
POCT,854,0,0.00,10,29.24,30.25,554,300
TMAT,849,0,0.00,0,0.00,22.68,849,0
IEFN,820,0,0.00,0,0.00,33.70,820,0
EYLD,803,0,0.00,1,35.00,35.04,803,0
MINN,800,0,0.00,0,0.00,25.03,800,0
NUMV,798,0,0.00,50,35.00,38.92,798,0
FFTG,768,0,0.00,0,0.00,30.58,768,0
HCRB,750,0,0.00,0,0.00,40.82,750,0
IBMM,726,0,0.00,0,0.00,26.83,726,0
OSCV,725,0,0.00,0,0.00,35.47,725,0
PJAN,723,0,0.00,0,0.00,33.15,723,0
AESR,718,0,0.00,0,0.00,14.79,718,0
IDME,705,0,0.00,0,0.00,24.74,705,0
DFNV,704,0,0.00,0,0.00,30.48,704,0
DAPR,700,0,0.00,0,0.00,31.38,700,0
YMAR,700,0,0.00,0,0.00,20.94,700,0
FFHG,697,0,0.00,10,37.03,37.71,697,0
ADME,669,0,0.00,0,0.00,42.36,669,0
PTEU,661,0,0.00,0,0.00,25.01,661,0
PSMG,657,0,0.00,103,17.91,19.08,557,100
LYFE,656,0,0.00,100,30.00,33.03,656,0
PJUN,623,0,0.00,0,0.00,32.00,623,0
GOVZ,613,0,0.00,0,0.00,21.86,613,0
PSMR,611,0,0.00,0,0.00,22.09,611,0
EAOA,608,0,0.00,0,0.00,34.49,608,0
GVAL,608,5,26.00,1,22.88,22.97,608,0
MSMR,600,0,0.00,0,0.00,24.99,600,0
PSCJ,600,0,0.00,0,0.00,21.13,600,0
TTAC,576,0,0.00,0,0.00,58.62,476,100
FJUN,565,0,0.00,0,0.00,37.53,565,0
BJAN,556,0,0.00,0,0.00,37.05,556,0
LUXE,536,0,0.00,5,30.90,32.66,536,0
LEAD,534,0,0.00,0,0.00,59.82,534,0
WDNA,525,100,27.69,4,24.51,24.75,525,0
FDEM,524,0,0.00,0,0.00,26.00,524,0
CSM,523,0,0.00,0,0.00,108.90,523,0
ADFI,517,0,0.00,1400,7.00,9.58,517,0
ICOW,516,0,0.00,0,0.00,31.04,516,0
HELX,508,0,0.00,3,45.51,49.94,508,0
IDHD,508,0,0.00,0,0.00,26.98,508,0
TFJL,502,0,0.00,0,0.00,23.60,502,0
UJUN,501,0,0.00,0,0.00,29.22,501,0
MSVX,500,0,0.00,0,0.00,24.78,500,0
FDEV,495,0,0.00,700,14.65,29.60,495,0
BJUN,488,0,0.00,0,0.00,34.19,488,0
AVDR,485,0,0.00,0,0.00,31.90,485,0
TRTY,465,0,0.00,900,24.60,28.13,465,0
IBHG,460,0,0.00,0,0.00,24.77,460,0
EWGS,453,0,0.00,13,80.00,81.00,453,0
HYXU,453,0,0.00,0,0.00,53.37,453,0
FLQM,425,0,0.00,0,0.00,47.78,425,0
FIBR,423,0,0.00,0,0.00,99.37,423,0
BFEB,420,0,0.00,0,0.00,31.83,420,0
ESHY,415,0,0.00,0,0.00,20.89,415,0
HYIN,414,0,0.00,1,1.00,25.31,414,0
PSMB,413,0,0.00,0,0.00,17.16,413,0
PSMM,407,0,0.00,0,0.00,15.85,407,0
JMUB,401,0,0.00,0,0.00,54.96,401,0
DBOC,400,0,0.00,0,0.00,30.04,400,0
GSUS,400,0,0.00,0,0.00,64.97,400,0
PBTP,395,0,0.00,0,0.00,26.76,395,0
ZECP,385,0,0.00,0,0.00,26.16,385,0
QPFF,384,0,0.00,0,0.00,41.05,384,0
BLKC,372,300,100.00,4,24.00,27.40,372,0
GMOM,371,0,0.00,0,0.00,30.66,371,0
PBEE,371,0,0.00,0,0.00,28.27,371,0
SPMV,371,0,0.00,0,0.00,39.96,371,0
UAUG,357,0,0.00,0,0.00,29.18,357,0
GAA,351,0,0.00,200,30.08,31.90,351,0
WFHY,334,0,0.00,5,48.82,51.93,334,0
VXZ,331,500,28.00,78,25.95,26.10,108,223
VFMV,320,0,0.00,100,95.98,103.36,320,0
IBHE,304,0,0.00,0,0.00,24.86,304,0
IBHC,301,0,0.00,0,0.00,24.46,301,0
IVLC,301,0,0.00,0,0.00,15.09,301,0
EOPS,287,0,0.00,0,0.00,28.01,287,0
IEME,279,0,0.00,11,34.35,34.52,278,1
BBSA,277,0,0.00,0,0.00,51.06,277,0
DMAY,260,0,0.00,0,0.00,34.48,260,0
IVSG,259,0,0.00,0,0.00,14.49,259,0
BALT,254,0,0.00,0,0.00,25.88,254,0
FOMO,253,1,27.00,5,24.24,25.19,253,0
TYA,245,0,0.00,10,24.08,24.08,245,0
EUDV,241,0,0.00,0,0.00,54.01,241,0
USMF,235,0,0.00,0,0.00,41.06,235,0
PSCX,234,0,0.00,0,0.00,22.27,234,0
EMTL,230,0,0.00,0,0.00,49.83,230,0
DURA,223,0,0.00,0,0.00,31.21,223,0
TILT,217,0,0.00,1,170.00,182.40,217,0
AVDG,211,0,0.00,5,32.00,32.92,211,0
MAAX,210,0,0.00,0,0.00,24.80,210,0
EAOR,207,0,0.00,0,0.00,31.76,207,0
PSMJ,206,0,0.00,0,0.00,21.18,206,0
GLDB,203,0,0.00,0,0.00,24.16,203,0
BLDG,202,0,0.00,200,30.81,32.89,202,0
NULC,201,0,0.00,4,41.00,43.66,101,100
DDEC,200,0,0.00,0,0.00,32.40,200,0
EMSH,200,0,0.00,0,0.00,72.12,200,0
FMAR,200,0,0.00,0,0.00,32.96,200,0
NUDV,200,0,0.00,100,24.78,26.04,200,0
UDEC,200,0,0.00,0,0.00,29.83,200,0
UOCT,200,0,0.00,100,27.86,28.39,200,0
QMOM,195,0,0.00,0,0.00,54.72,195,0
TTAI,190,0,0.00,0,0.00,36.83,190,0
FAPR,188,0,0.00,0,0.00,32.28,147,41
BDEC,175,0,0.00,0,0.00,34.12,175,0
XDAT,169,0,0.00,0,0.00,28.90,169,0
HEEM,168,0,0.00,0,0.00,30.71,68,100
QLC,168,0,0.00,0,0.00,51.01,168,0
GSST,167,0,0.00,0,0.00,50.57,167,0
BGLD,156,0,0.00,0,0.00,18.97,156,0
VFLQ,155,0,0.00,1,115.00,116.29,155,0
PMAR,140,0,0.00,0,0.00,31.31,140,0
SLT,118,0,0.00,0,0.00,44.23,118,0
STLG,118,0,0.00,0,0.00,40.64,118,0
EUCG,115,0,0.00,0,0.00,27.75,115,0
MEAR,115,0,0.00,100,47.50,50.13,115,0
TCTL,112,0,0.00,0,0.00,34.41,112,0
ACSI,111,0,0.00,0,0.00,53.45,111,0
MRSK,110,0,0.00,0,0.00,33.15,110,0
PSFM,109,0,0.00,0,0.00,22.93,109,0
PSFF,108,0,0.00,0,0.00,22.70,108,0
KNGS,103,0,0.00,100,27.00,28.82,63,40
TSJA,103,0,0.00,0,0.00,29.61,103,0
PWS,102,0,0.00,5,33.00,34.58,102,0
XTOC,102,0,0.00,0,0.00,25.55,102,0
FLQS,101,0,0.00,0,0.00,41.35,101,0
DSJA,100,0,0.00,0,0.00,30.00,100,0
IBMQ,100,0,0.00,0,0.00,27.16,100,0
IGLD,100,0,0.00,0,0.00,20.23,100,0
IMLP,100,0,0.00,0,0.00,12.84,100,0
KAPR,100,0,0.00,0,0.00,28.09,100,0
KJAN,100,0,0.00,0,0.00,31.98,100,0
MRGR,100,0,0.00,0,0.00,41.64,100,0
NOCT,100,0,0.00,0,0.00,40.56,51,49
PSMO,100,0,0.00,0,0.00,21.04,100,0
UJAN,100,0,0.00,0,0.00,31.49,100,0
IVDG,92,0,0.00,20,12.00,14.09,92,0
HYHG,91,0,0.00,0,0.00,62.68,91,0
ALTS,80,0,0.00,0,0.00,39.08,80,0
IMFL,75,0,0.00,0,0.00,26.28,75,0
CBTG,73,0,0.00,0,0.00,20.60,73,0
VMOT,71,0,0.00,0,0.00,28.10,71,0
MAMB,60,0,0.00,0,0.00,25.18,60,0
NJAN,54,0,0.00,0,0.00,42.21,54,0
FEDX,51,0,0.00,1,22.69,28.14,51,0
ISVL,48,0,0.00,0,0.00,36.60,48,0
QTOC,37,0,0.00,0,0.00,26.24,37,0
VWID,34,0,0.00,0,0.00,28.53,34,0
MAYZ,28,0,0.00,0,0.00,27.26,28,0
XSHD,27,0,0.00,0,0.00,22.65,27,0
FAIL,26,100,23.00,30,21.60,21.73,26,0
WIL,26,0,0.00,300,40.05,99.36,26,0
MPRO,24,0,0.00,0,0.00,27.20,24,0
MOTE,22,0,0.00,0,0.00,27.25,22,0
APXH,20,0,0.00,0,0.00,10.08,20,0
VAMO,20,0,0.00,200,24.66,26.82,20,0
XBAP,19,0,0.00,0,0.00,27.16,19,0
NAPR,16,0,0.00,0,0.00,38.64,16,0
IBHF,15,0,0.00,0,0.00,25.27,15,0
IBML,12,0,0.00,98,25.90,25.95,12,0
SMI,9,0,0.00,0,0.00,49.89,9,0
HFGO,7,0,0.00,0,0.00,19.77,7,0
SFIG,7,0,0.00,0,0.00,50.85,7,0
ARCM,5,0,0.00,0,0.00,99.88,5,0
ESEB,5,0,0.00,0,0.00,21.00,5,0
QTAP,5,0,0.00,0,0.00,29.87,5,0
ROMO,5,0,0.00,0,0.00,29.87,5,0
VIRS,5,0,0.00,500,14.71,35.15,5,0
KWT,4,0,0.00,0,0.00,35.87,4,0
PXUS,4,0,0.00,0,0.00,25.35,4,0
TSOC,4,0,0.00,25,30.33,32.26,4,0
HYMU,3,0,0.00,0,0.00,26.35,3,0
IBHA,3,0,0.00,0,0.00,24.10,3,0
WFIG,3,0,0.00,0,0.00,53.69,3,0
EAOM,2,0,0.00,0,0.00,29.15,2,0
GSEE,2,0,0.00,0,0.00,52.52,2,0
GSID,2,0,0.00,0,0.00,56.60,2,0
JUNZ,2,0,0.00,0,0.00,27.32,2,0
XDQQ,2,0,0.00,0,0.00,30.28,2,0
IBMO,1,0,0.00,0,0.00,26.80,1,0
MIG,1,0,0.00,0,0.00,24.75,1,0
PBDM,1,0,0.00,0,0.00,29.66,1,0
QMAR,1,0,0.00,0,0.00,22.57,1,0
RESD,1,0,0.00,10,21.48,31.24,1,0
TMDV,1,0,0.00,0,0.00,49.16,1,0
XTAP,1,0,0.00,0,0.00,28.45,1,0
AMER,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
BAUG,0,0,0.00,0,0.00,0.00,0,0
BMAR,0,0,0.00,1,7.27,0.00,0,0
BOCT,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
DBJA,0,0,0.00,0,0.00,0.00,0,0
DECZ,0,0,0.00,0,0.00,0.00,0,0
DJUN,0,0,0.00,0,0.00,0.00,0,0
DOCT,0,0,0.00,100,32.00,0.00,0,0
DSOC,0,0,0.00,0,0.00,0.00,0,0
EAOK,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
EURZ,0,0,0.00,0,0.00,0.00,0,0
FEBZ,0,0,0.00,0,0.00,0.00,0,0
FLIA,0,0,0.00,0,0.00,0.00,0,0
FUNL,0,0,0.00,0,0.00,0.00,0,0
FUT,0,0,0.00,0,0.00,0.00,0,0
GHTA,0,0,0.00,0,0.00,0.00,0,0
HEET,0,0,0.00,0,0.00,0.00,0,0
HSUN,0,0,0.00,0,0.00,0.00,0,0
IBMP,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
LSLT,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MBBB,0,0,0.00,0,0.00,0.00,0,0
MBND,0,0,0.00,0,0.00,0.00,0,0
MOHR,0,0,0.00,0,0.00,0.00,0,0
OBND,0,0,0.00,0,0.00,0.00,0,0
PLRG,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,0,0.00,0,0.00,0.00,0,0
PSFJ,0,0,0.00,0,0.00,0.00,0,0
PSFO,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
QTJL,0,0,0.00,0,0.00,0.00,0,0
RDFI,0,0,0.00,0,0.00,0.00,0,0
REC,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
RODI,0,0,0.00,0,0.00,0.00,0,0
RTAI,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
STLV,0,0,0.00,0,0.00,0.00,0,0
TBJL,0,0,0.00,0,0.00,0.00,0,0
TEGS,0,0,0.00,0,0.00,0.00,0,0
THY,0,0,0.00,0,0.00,0.00,0,0
UFEB,0,0,0.00,0,0.00,0.00,0,0
UJUL,0,0,0.00,0,0.00,0.00,0,0
UMAR,0,0,0.00,0,0.00,0.00,0,0
USEP,0,0,0.00,0,0.00,0.00,0,0
USEQ,0,0,0.00,0,0.00,0.00,0,0
WLDR,0,0,0.00,0,0.00,0.00,0,0
XBJL,0,0,0.00,0,0.00,0.00,0,0
XDAP,0,0,0.00,0,0.00,0.00,0,0
XDJL,0,0,0.00,0,0.00,0.00,0,0
XDOC,0,0,0.00,0,0.00,0.00,0,0
XDSQ,0,0,0.00,0,0.00,0.00,0,0
XJUN,0,0,0.00,0,0.00,0.00,0,0
XTJL,0,0,0.00,0,0.00,0.00,0,0
YDEC,0,0,0.00,0,0.00,0.00,0,0
YJUN,0,0,0.00,0,0.00,0.00,0,0